name,artists,year,cluster
Heaven Or Las Vegas,['Cocteau Twins'],1990,2
"My, My, My",['Johnny Gill'],1990,0
Love of a Lifetime,['Firehouse'],1990,1
Amores Como el Nuestro,['Jerry Rivera'],1990,2
American Remains,"['The Highwaymen', 'Willie Nelson', 'Johnny Cash', 'Waylon Jennings', 'Kris Kristofferson']",1990,0
But Anyway,['Blues Traveler'],1990,0
El Triste,['José José'],1990,1
Tornado Of Souls - Remastered 2004,['Megadeth'],1990,2
I Like The Way,['Hi-Five'],1990,0
Cliffs Of Dover - Instrumental,['Eric Johnson'],1990,1
Ball and Chain,['Social Distortion'],1990,2
Twice As Hard,['The Black Crowes'],1990,2
Step by Step,['New Kids On The Block'],1990,0
Tan enamorados,['Ricardo Montaner'],1990,1
Don't Close Your Eyes,['Keith Whitley'],1990,1
I Melt With You - Rerecorded,['Modern English'],1990,2
Don't Treat Me Bad,['Firehouse'],1990,0
Birdhouse in Your Soul,['They Might Be Giants'],1990,0
Hold On,['En Vogue'],1990,1
It Takes Two,['Rob Base & DJ EZ Rock'],1990,0
Are You Ready,['AC/DC'],1990,2
Baby I'm Ready,['Levert'],1990,1
Something To Believe In - Remastered,['Poison'],1990,2
Bachata Rosa,['Juan Luis Guerra 4.40'],1990,0
You've Lost That Lovin' Feelin',['The Righteous Brothers'],1990,1
Maybe It Was Memphis,['Pam Tillis'],1990,1
Personal Jesus - 2006 Remaster,['Depeche Mode'],1990,2
Groove Is in the Heart,['Deee-Lite'],1990,0
Jet City Woman - Remastered 2003,['Queensrÿche'],1990,2
Qué Hay de Malo,['Jerry Rivera'],1990,0
Send Me An Angel,['Scorpions'],1990,1
The Ghetto,['Too $hort'],1990,0
Vision of Love,['Mariah Carey'],1990,2
We Die Young,['Alice In Chains'],1990,2
Gotas De Lluvia,['Grupo Niche'],1990,0
Te Quiero,['Los Temerarios'],1990,1
Ring of Fire,['Social Distortion'],1990,2
Kool Thing,['Sonic Youth'],1990,2
Country Club,['Travis Tritt'],1990,0
"Main Title ""Somewhere in My Memory"" (From ""Home Alone"") - Voice","['John Williams', 'Boston Pops Orchestra']",1990,1
When You Say Nothing at All,['Keith Whitley'],1990,1
Tengo Todo Excepto a Ti,['Luis Miguel'],1990,2
True Love Will Find You In The End,['Daniel Johnston'],1990,1
I Love You More Than You'll Ever Know,['Donny Hathaway'],1990,1
She's Playing Hard To Get,['Hi-Five'],1990,2
Maldito duende,['Heroes Del Silencio'],1990,2
Rumble,['Link Wray & The Wraymen'],1990,0
Burbujas de Amor,['Juan Luis Guerra 4.40'],1990,0
Rub You The Right Way,['Johnny Gill'],1990,0
Here's Where The Story Ends,['The Sundays'],1990,0
Gonna Make You Sweat (Everybody Dance Now),['C & C Music Factory'],1990,0
Something's Gotta Give,['Sammy Davis Jr.'],1990,1
With You,['Tony Terry'],1990,0
Jealous Again,['The Black Crowes'],1990,0
Enjoy the Silence - 2006 Remaster,['Depeche Mode'],1990,1
Eternamente Bella,['Alejandra Guzman'],1990,0
Let's Talk About Sex,['Salt-N-Pepa'],1990,0
Entrégate,['Luis Miguel'],1990,2
Solo Te Quiero a Ti,['Los Temerarios'],1990,0
Silver Stallion,"['The Highwaymen', 'Willie Nelson', 'Johnny Cash', 'Waylon Jennings', 'Kris Kristofferson']",1990,0
I'm Your Baby Tonight,['Whitney Houston'],1990,2
"(I Got Spurs That) Jingle, Jangle, Jingle",['Kay Kyser & His Orchestra'],1990,0
Stop,"[""Jane's Addiction""]",1990,2
We Wish You a Merry Christmas / End Title - Voice,"['Traditional', 'John Williams']",1990,1
Cuenta Conmigo,['Jerry Rivera'],1990,0
21st Century (Digital Boy),['Bad Religion'],1990,2
La Raza,['Kid Frost'],1990,0
Bleed The Freak,['Alice In Chains'],1990,2
Joey,['Concrete Blonde'],1990,2
Me va a extrañar (aka Unchain My Heart),['Ricardo Montaner'],1990,1
Somewhere in My Memory - Chorus & Orchestra Version,['John Williams'],1990,1
Vete Con Él,['Los Temerarios'],1990,0
Bouncing Around the Room,['Phish'],1990,0
Why Didn't I Think Of That,['Doug Stone'],1990,0
Get Here,['Oleta Adams'],1990,1
Tiernas Mentiras,['Samuray'],1990,0
The Power,['SNAP!'],1990,0
Halah,['Mazzy Star'],1990,1
Chasin' That Neon Rainbow,['Alan Jackson'],1990,0
The Obvious Child,['Paul Simon'],1990,0
Conciencia,['Gilberto Santa Rosa'],1990,0
Seasons In The Abyss,['Slayer'],1990,2
Everybody Everybody,['Black Box'],1990,0
Fire Your Guns,['AC/DC'],1990,0
Mi Corazón Te Quiere,['Los Temerarios'],1990,2
Skies the Limit,['Fleetwood Mac'],1990,0
If You Needed Somebody,['Bad Company'],1990,2
Cómo Te Va Mi Amor,['Pandora'],1990,1
Christmas Wrapping,['The Waitresses'],1990,0
In a Different Light,['Doug Stone'],1990,2
Love Takes Time,['Mariah Carey'],1990,1
It Never Rains (In Southern California),['Tony! Toni! Toné!'],1990,0
Help Me Hold On,['Travis Tritt'],1990,2
Sitting In The Park - Single Version,['Billy Stewart'],1990,1
Creo Que Voy a Llorar,['Los Temerarios'],1990,1
Un Angel No Debe Llorar,['Los Bondadosos'],1990,0
Derrotado y Sin Cariño,['Los Temerarios'],1990,1
Uncle Tom's Cabin,['Warrant'],1990,2
Entre dos tierras,['Heroes Del Silencio'],1990,2
Uncle Tom's Cabin,['Warrant'],1990,2
Still Got The Blues,['Gary Moore'],1990,2
Alone,['The Cry'],1990,0
Celoso,['Grupo Toppaz De Reynaldo Flores'],1990,0
When Will I See You Smile Again?,['Bell Biv DeVoe'],1990,1
I'd Be Better Off (In A Pine Box),['Doug Stone'],1990,1
Cara de Niño,['Jerry Rivera'],1990,0
Do Me!,['Bell Biv DeVoe'],1990,0
Suicide Blonde,['INXS'],1990,0
Lo Que No Fue No Será,['José José'],1990,1
Got The Time,['Anthrax'],1990,2
Tender Kisses,['Tracie Spencer'],1990,2
Feed Jake,['Pirates Of The Mississippi'],1990,2
Head Over Heels,"[""The Go-Go's""]",1990,2
From a Distance,['Bette Midler'],1990,1
Love Is Dangerous - 2018 Remaster,['Fleetwood Mac'],1990,0
Sea Of Sorrow,['Alice In Chains'],1990,2
De un Rancho a Otro,['Vicente Fernández'],1990,0
Tren Al Sur,['Los Prisioneros'],1990,0
Love Can Build A Bridge,['The Judds'],1990,1
I Feel Lucky,['Mary Chapin Carpenter'],1990,0
Dead Skin Mask,['Slayer'],1990,2
A Beautiful Morning - Single Version,['The Rascals'],1990,0
Stop,"[""Jane's Addiction""]",1990,2
Modern Love - Single Version; 1990 Remaster,['David Bowie'],1990,0
"Love, Hate, Love",['Alice In Chains'],1990,1
Have Yourself a Merry Little Christmas - Voice,"['Hugh Martin', 'Mel Tormé']",1990,1
Entre dos tierras,['Heroes Del Silencio'],1990,2
It Ain't Like That,['Alice In Chains'],1990,2
Almohada,['José José'],1990,1
Luck of Lucien,['A Tribe Called Quest'],1990,0
El Muñeco,['Liberación'],1990,2
Smells Like Teen Spirit,['Nirvana'],1991,2
Enter Sandman,['Metallica'],1991,0
Under the Bridge,['Red Hot Chili Peppers'],1991,1
Come As You Are,['Nirvana'],1991,2
Nothing Else Matters,['Metallica'],1991,1
Even Flow,['Pearl Jam'],1991,2
Losing My Religion,['R.E.M.'],1991,0
November Rain,"[""Guns N' Roses""]",1991,1
Lithium,['Nirvana'],1991,0
Alive,['Pearl Jam'],1991,2
Meet In the Middle,['Diamond Rio'],1991,0
Knockin' On Heaven's Door,"[""Guns N' Roses""]",1991,2
In Bloom - Nevermind Version,['Nirvana'],1991,2
Jeremy,['Pearl Jam'],1991,2
The Unforgiven,['Metallica'],1991,2
Badfish,['Sublime'],1991,0
Give It Away,['Red Hot Chili Peppers'],1991,0
Black,['Pearl Jam'],1991,1
What You Won't Do for Love,['Bobby Caldwell'],1991,0
Learning To Fly,['Tom Petty and the Heartbreakers'],1991,0
"Mama, I'm Coming Home",['Ozzy Osbourne'],1991,2
Sad But True,['Metallica'],1991,0
It's Five O'Clock Somewhere,"['Alan Jackson', 'Jimmy Buffett']",1991,0
She's In Love With The Boy - Single Version,['Trisha Yearwood'],1991,0
Yellow Ledbetter,['Pearl Jam'],1991,1
Mind Playing Tricks on Me,['Geto Boys'],1991,0
(Everything I Do) I Do It For You,['Bryan Adams'],1991,1
End Of The Road,['Boyz II Men'],1991,1
I Can't Make You Love Me,['Bonnie Raitt'],1991,1
No More Tears,['Ozzy Osbourne'],1991,2
Two Princes,['Spin Doctors'],1991,0
Remember the Time,['Michael Jackson'],1991,0
Something In The Way,['Nirvana'],1991,1
The Night The Lights Went Out In Georgia,['Reba McEntire'],1991,2
One,['U2'],1991,2
Small Town Saturday Night,['Hal Ketchum'],1991,0
Wherever I May Roam,['Metallica'],1991,2
Leather and Lace (with Don Henley),['Stevie Nicks'],1991,1
Something To Talk About,['Bonnie Raitt'],1991,0
To Be With You - 2010 Remastered Version,['Mr. Big'],1991,1
Walking in Memphis,['Marc Cohn'],1991,1
"Be Our Guest - From ""Beauty and the Beast""/Soundtrack","['Angela Lansbury', 'Jerry Orbach', 'Chorus - Beauty And the Beast']",1991,1
Drain You,['Nirvana'],1991,2
"Beauty and the Beast - From ""Beauty and the Beast"" / Soundtrack Version",['Angela Lansbury'],1991,1
Don't Cry (Original),"[""Guns N' Roses""]",1991,1
Jerry Was A Race Car Driver,['Primus'],1991,2
Under Pressure - Remastered 2011,"['Queen', 'David Bowie']",1991,0
Outshined,['Soundgarden'],1991,0
Live And Let Die,"[""Guns N' Roses""]",1991,2
Check the Rhime,['A Tribe Called Quest'],1991,0
"Belle - From ""Beauty and the Beast""/Soundtrack Version","['Richard White', ""Paige O'Hara"", 'Chorus - Beauty And the Beast']",1991,1
I Love a Rainy Night,['Eddie Rabbitt'],1991,0
"Something There - From ""Beauty and the Beast""/Soundtrack Version","['Robby Benson', 'Jerry Orbach', ""Paige O'Hara"", 'Angela Lansbury', 'David Ogden Stiers']",1991,1
Merry Christmas Everyone,"[""Shakin' Stevens""]",1991,2
The Best - Edit,['Tina Turner'],1991,0
Good Vibrations,"['Marky Mark And The Funky Bunch', 'Loleatta Holloway']",1991,0
Two Princes,['Spin Doctors'],1991,0
O.P.P,['Naughty By Nature'],1991,0
Smile,['Nat King Cole'],1991,1
Breakin' My Heart (Pretty Brown Eyes),['Mint Condition'],1991,0
Right Now,['Van Halen'],1991,1
Breed,['Nirvana'],1991,2
Don't Rock the Jukebox,['Alan Jackson'],1991,0
Rusty Cage,['Soundgarden'],1991,2
Me Estoy Enamorando,['La Mafia'],1991,1
Civil War,"[""Guns N' Roses""]",1991,2
Every Time You Go Away - Radio Edit,['Paul Young'],1991,2
All I Want,['Toad The Wet Sprocket'],1991,0
Shiny Happy People,['R.E.M.'],1991,2
Polly,['Nirvana'],1991,0
Gypsy Woman (She's Homeless) - Basement Boy Strip To The Bone Mix,['Crystal Waters'],1991,1
Emotions,['Mariah Carey'],1991,0
It Ain't Over 'Til It's Over,['Lenny Kravitz'],1991,0
Hacer El Amor Con Otro,['Alejandra Guzman'],1991,1
You've Got to Stand for Something,['Aaron Tippin'],1991,1
How I Could Just Kill a Man,['Cypress Hill'],1991,0
Suck My Kiss,['Red Hot Chili Peppers'],1991,0
Unforgettable (Duet with Nat King Cole),['Natalie Cole'],1991,1
Summertime,['DJ Jazzy Jeff & The Fresh Prince'],1991,0
Copperline,['James Taylor'],1991,1
Me And You,['Tony! Toni! Toné!'],1991,0
Love Potion No. 9 - Remastered / Single Version,['The Clovers'],1991,0
Chiquilla Bonita,['Los Bukis'],1991,0
Él Soy Yo,['Samuray'],1991,0
The Show Must Go On - Remastered 2011,['Queen'],1991,1
Little Miss Can't Be Wrong,['Spin Doctors'],1991,0
Feed My Frankenstein,['Alice Cooper'],1991,2
What You Give,['Tesla'],1991,2
Beautiful Mess,['Diamond Rio'],1991,2
Orange Colored Sky,['Nat King Cole'],1991,1
When a Man Loves a Woman,['Michael Bolton'],1991,1
Lounge Act,['Nirvana'],1991,2
Don't Tread On Me,['Metallica'],1991,0
Black or White,['Michael Jackson'],1991,0
The Choice Is Yours (Revisited),['Black Sheep'],1991,0
Anymore,['Travis Tritt'],1991,1
Have I Told You Lately - 2008 Remaster,['Rod Stewart'],1991,1
Territorial Pissings,['Nirvana'],1991,2
Tonite,['DJ Quik'],1991,0
I Wanna Sex You Up - Single Mix,['Color Me Badd'],1991,2
Stay Away,['Nirvana'],1991,2
Stand Back,['Stevie Nicks'],1991,0
Alwayz Into Somethin',['N.W.A.'],1991,0
Drivin' My Life Away,['Eddie Rabbitt'],1991,0
Mistletoe and Wine,['Cliff Richard'],1991,1
Excursions,['A Tribe Called Quest'],1991,0
Breaking the Girl,['Red Hot Chili Peppers'],1991,2
"Baby, Baby",['Amy Grant'],1991,0
Stay,['Jodeci'],1991,0
Como Tu Mujer,['Rocío Dúrcal'],1991,0
Unbelievable,['EMF'],1991,0
Here's a Quarter (Call Someone Who Cares),['Travis Tritt'],1991,0
Jazz (We've Got),['A Tribe Called Quest'],1991,0
Now That We Found Love,"['Heavy D & The Boyz', 'Aaron Hall']",1991,0
Save The Best For Last,['Vanessa Williams'],1991,1
I'm Dreamin',['Christopher Williams'],1991,0
Slow Ride,['Sublime'],1991,0
Un Millon de Rosas,['La Mafia'],1991,0
Motownphilly,['Boyz II Men'],1991,0
I Can't Dance - 2007 Remaster,['Genesis'],1991,0
(I Love You) For Sentimental Reasons,['Nat King Cole'],1991,1
I Wanna Sex You Up - Single Mix,['Color Me Badd'],1991,2
On A Plain,['Nirvana'],1991,2
Forever My Lady,['Jodeci'],1991,0
Rush Rush,['Paula Abdul'],1991,1
Bro Hymn,['Pennywise'],1991,2
Try Me,['James Brown'],1991,1
Spring Love,['Stevie B'],1991,0
Tom's Diner,"['Suzanne Vega', 'DNA']",1991,0
No Sé Tú,['Luis Miguel'],1991,1
Mysterious Ways,['U2'],1991,0
Heal the World,['Michael Jackson'],1991,1
Of Wolf And Man,['Metallica'],1991,0
Que Me Entierren Con La Banda,['Antonio Aguilar'],1991,0
I Touch Myself,['Divinyls'],1991,0
Walk On the Ocean,['Toad The Wet Sprocket'],1991,2
Rockin' Around the Christmas Tree,['Brenda Lee'],1991,0
The Shoop Shoop Song (It's In His Kiss),['Cher'],1991,0
1952 Vincent Black Lightning,['Richard Thompson'],1991,1
Kumbala,['Maldita Vecindad Y Los Hijos Del 5to. Patio'],1991,1
Me Caí De La Nube,['Cornelio Reyna'],1991,1
Into The Great Wide Open,['Tom Petty and the Heartbreakers'],1991,0
Through The Never,['Metallica'],1991,2
Hammer To Fall - Remastered 2011,['Queen'],1991,2
Qué Falta Me Hace Mi Padre,['Antonio Aguilar'],1991,0
Remember When,['Alan Jackson'],1991,1
"Love, Me",['Collin Raye'],1991,1
Right Here Right Now,['Jesus Jones'],1991,0
Nuestra Canción,['La Mafia'],1991,0
Girlfriend,['Matthew Sweet'],1991,0
Poundcake,['Van Halen'],1991,2
Rica y Apretadita (feat. Anayka),"['El General', 'Anayka']",1991,0
Sometimes I Rhyme Slow,['Nice & Smooth'],1991,0
Hellraiser,['Ozzy Osbourne'],1991,2
"Gaston - From ""Beauty and the Beast"" / Soundtrack Version","['Richard White', 'Jesse Corti', 'Chorus - Beauty And the Beast']",1991,0
Life Is A Highway,['Tom Cochrane'],1991,0
Weather With You,['Crowded House'],1991,0
Release,['Pearl Jam'],1991,1
"It's A Man's, Man's, Man's World",['James Brown'],1991,1
Stardust,['Nat King Cole'],1991,1
I'll Never Let You Go,['STEELHEART'],1991,2
Come & Talk To Me,['Jodeci'],1991,2
Bring The Noise,['Anthrax'],1991,2
Stars,['Simply Red'],1991,0
Ain't No Future In Yo' Frontin',"['MC Breed', 'DFC']",1991,0
"Love, Me",['Collin Raye'],1991,1
Optimistic,['Sounds Of Blackness'],1991,0
Once,['Pearl Jam'],1991,2
Is There Life Out There,['Reba McEntire'],1991,0
I Wanna Be the One,['Stevie B'],1991,0
Papa's Got A Brand New Bag,['James Brown'],1991,0
I Got You Babe,['Sonny & Cher'],1991,0
American Music,['Violent Femmes'],1991,0
Top of the World,['Van Halen'],1991,0
Wasted Days and Wasted Nights,['Freddy Fender'],1991,0
Insatiable,['Prince'],1991,1
Get Up (I Feel Like Being A) Sex Machine,['James Brown'],1991,0
My Friend Of Misery,['Metallica'],1991,2
Estranged,"[""Guns N' Roses""]",1991,1
Me Sacaron Del Tenampa,['Cornelio Reyna'],1991,0
Without You,['Air Supply'],1991,1
The God That Failed,['Metallica'],1991,0
Rhythm Is A Dancer - 12'' Version,['SNAP!'],1991,0
Who Wants To Live Forever - Remastered 2011,['Queen'],1991,1
Mary Lee,['Los Traileros Del Norte'],1991,0
Book of Days,['Enya'],1991,1
Jingle Bell Rock,['Bobby Helms'],1992,0
It Was A Good Day,['Ice Cube'],1992,0
Killing In The Name,['Rage Against The Machine'],1992,0
No Rain,['Blind Melon'],1992,2
What's Up?,['4 Non Blondes'],1992,2
Chattahoochee,['Alan Jackson'],1992,2
Rooster,['Alice In Chains'],1992,2
Walk,['Pantera'],1992,2
Friday I'm in Love,['The Cure'],1992,2
"Nuthin' But A ""G"" Thang","['Dr. Dre', 'Snoop Dogg']",1992,0
Would?,['Alice In Chains'],1992,2
I Will Always Love You,['Whitney Houston'],1992,1
Harvest Moon,['Neil Young'],1992,1
Alma Enamorada,"['Chalino Sanchez', 'Los Amables Del Norte']",1992,2
Baby Got Back,['Sir Mix-A-Lot'],1992,0
Passin' Me By,['The Pharcyde'],1992,0
Weak,['SWV'],1992,0
I Have Nothing,['Whitney Houston'],1992,1
Thunder Kiss '65,['White Zombie'],1992,0
Symphony Of Destruction,['Megadeth'],1992,2
Real Love,['Mary J. Blige'],1992,0
Them Bones,['Alice In Chains'],1992,2
Nieves De Enero,"['Chalino Sanchez', 'Los Amables Del Norte']",1992,2
Oye Mi Amor,['Maná'],1992,2
Runaway Train,['Soul Asylum'],1992,0
L-O-V-E,['Nat King Cole'],1992,1
Plush - 2017 Remaster,['Stone Temple Pilots'],1992,2
Hermanos Mata,"['Chalino Sanchez', 'Los Amables Del Norte']",1992,0
Walking on Broken Glass,['Annie Lennox'],1992,0
El Crimen De Culiacán,"['Chalino Sanchez', 'Los Amables Del Norte']",1992,0
Hey Jealousy,['Gin Blossoms'],1992,2
Smoke Two Joints,['Sublime'],1992,0
I'm So Into You,['SWV'],1992,0
Mi Vida Eres Tú,['Los Temerarios'],1992,1
Everybody Hurts,['R.E.M.'],1992,1
God Bless The U.S.A.,['Lee Greenwood'],1992,1
Jump,['Kris Kross'],1992,0
Cómo Estás Tú,['Liberación'],1992,0
No Ordinary Love,['Sade'],1992,2
Fuck Wit Dre Day (And Everybody's Celebratin'),['Dr. Dre'],1992,0
Creep - 2017 Remaster,['Stone Temple Pilots'],1992,1
Aca Entre Nos,['Vicente Fernández'],1992,1
I Cross My Heart - Pure Country Soundtrack Version,['George Strait'],1992,1
Bubba Shot The Jukebox,['Mark Chesnutt'],1992,2
Los Chismes,"['Chalino Sanchez', 'Los Amables Del Norte']",1992,0
"Tears in Heaven - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",['Eric Clapton'],1992,1
Down In A Hole,['Alice In Chains'],1992,2
Change,['Blind Melon'],1992,1
Let Me Ride,"['Dr. Dre', 'Jewell']",1992,0
"Layla - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",['Eric Clapton'],1992,0
40oz. To Freedom,['Sublime'],1992,1
T-R-O-U-B-L-E,['Travis Tritt'],1992,2
Achy Breaky Heart,['Billy Ray Cyrus'],1992,0
Bombtrack,['Rage Against The Machine'],1992,2
Some Girls Do,['Sawyer Brown'],1992,0
They Reminisce Over You (T.R.O.Y.),['Pete Rock & C.L. Smooth'],1992,0
Right Here - Human Nature Radio Mix,['SWV'],1992,0
Unsung,['Helmet'],1992,2
Scarlet Begonias,['Sublime'],1992,0
Mario Peralta,"['Chalino Sanchez', 'Los Amables Del Norte']",1992,2
Arabian Nights,['Bruce Adler'],1992,1
Sunglasses At Night,['Corey Hart'],1992,0
Man On The Moon,['R.E.M.'],1992,0
Freak Me,['Silk'],1992,0
Don't Walk Away,['Jade'],1992,0
I'm in a Hurry (And Don't Know Why),['Alabama'],1992,0
Bed Of Roses,['Bon Jovi'],1992,2
Pero Te Vas A Arrepentir,"[""Los Yonic's"", 'Marco Antonio Solís']",1992,1
"If I Had $1,000,000",['Barenaked Ladies'],1992,0
Know Your Enemy,['Rage Against The Machine'],1992,0
Finally Friday,['George Jones'],1992,0
Trashy Women - Remastered Version,['Confederate Railroad'],1992,0
The King of Wishful Thinking,['Go West'],1992,0
Que De Raro Tiene,['Vicente Fernández'],1992,1
Quiereme,['Los Bukis'],1992,1
What About Your Friends,['TLC'],1992,0
Wake Up,['Rage Against The Machine'],1992,2
Life Is A Highway,['Tom Cochrane'],1992,0
Rump Shaker,['Wreckx-N-Effect'],1992,0
Back To The Hotel,['N2DEEP'],1992,2
Heartland - Pure Country/Soundtrack Version,['George Strait'],1992,2
Fear of the Dark - 2015 Remaster,['Iron Maiden'],1992,2
If I Ever Fall In Love,['Shai'],1992,1
Wicked Garden - 2017 Remaster,['Stone Temple Pilots'],1992,2
Found Out About You,['Gin Blossoms'],1992,2
Date Rape,['Sublime'],1992,0
"Beauty and the Beast - from the Soundtrack ""Beauty and the Beast""","['Céline Dion', 'Peabo Bryson']",1992,1
Me Vale,['Maná'],1992,2
Bitches Ain't Shit,['Dr. Dre'],1992,0
Who Do You Love?,['George Thorogood & The Destroyers'],1992,2
Del Signo Libra,['Grupo Libra'],1992,0
So What'Cha Want - Remastered 2009,['Beastie Boys'],1992,2
Prenda Del Alma,"['Chalino Sanchez', 'Los Amables Del Norte']",1992,2
Bandido De Amores,"['Joan Sebastian', 'Antonio Aguilar']",1992,2
When You Wish Upon a Star,"['Cliff Edwards', 'Disney Studio Chorus']",1992,1
These Are Days,"['10,000 Maniacs']",1992,0
Y Tú Con Él,['Industria del Amor'],1992,1
Don't Sweat The Technique,['Eric B. & Rakim'],1992,0
Take The Power Back,['Rage Against The Machine'],1992,2
Mi Mayor Necesidad,['Los Bukis'],1992,2
Finally,['CeCe Peniston'],1992,0
Te Lloré Un Río,['Maná'],1992,0
Sweet Thing,['Mary J. Blige'],1992,0
Florita Del Alma,"['Chalino Sanchez', 'Los Amables Del Norte']",1992,2
Con los Ojos Cerrados,['Gloria Trevi'],1992,1
This Love,['Pantera'],1992,1
My Lovin' (You're Never Gonna Get It),['En Vogue'],1992,0
A Whole New World,"['Lea Salonga', 'Brad Kane']",1992,1
Nightswimming,['R.E.M.'],1992,1
Nieves De Enero,"['Chalino Sanchez', 'Los Amables Del Norte']",1992,2
Extrañándote,['Los Temerarios'],1992,1
Christmas All Over Again,['Tom Petty and the Heartbreakers'],1992,2
You're Always On My Mind,['SWV'],1992,2
If I Ever Fall In Love,"['Shai', 'Bill Appleberry']",1992,1
Let's Go Get Stoned,['Sublime'],1992,0
Mrs. Robinson - Remastered,['The Lemonheads'],1992,0
Sin razón,['Los Acosta'],1992,0
Lose Control,['Silk'],1992,1
Mouth for War,['Pantera'],1992,2
Remedy,['The Black Crowes'],1992,2
Why,['Annie Lennox'],1992,1
Pull Me Under,['Dream Theater'],1992,2
Aneurysm,['Nirvana'],1992,2
Cats In The Cradle,['Ugly Kid Joe'],1992,1
Seminole Wind,['John Anderson'],1992,1
Sweating Bullets - Remastered 2004,['Megadeth'],1992,2
Giving Him Something He Can Feel,['En Vogue'],1992,2
One Last Cry,['Brian McKnight'],1992,1
I Still Believe In You,['Vince Gill'],1992,1
Amor y Control,['Rubén Blades'],1992,0
When I Look Into Your Eyes,['Firehouse'],1992,2
Alma Enamorada,"['Chalino Sanchez', 'Los Amables Del Norte']",1992,2
Rain When I Die,['Alice In Chains'],1992,2
Right Here - Human Nature Radio Mix,['SWV'],1992,0
I'm Every Woman,['Whitney Houston'],1992,0
Brian Wilson,['Barenaked Ladies'],1992,0
Para Amarnos Más,['Mijares'],1992,2
Como La Flor - Remastered,['Selena'],1992,2
Bullet In The Head,['Rage Against The Machine'],1992,2
A Quién Quieres Engañar?,['Los Temerarios'],1992,0
Baby-Baby-Baby,['TLC'],1992,2
Killing In the Name,['Rage Against The Machine'],1992,0
La Chica Que Soñé,['Tropical Panamá'],1992,0
O Él o Yo,['Los Temerarios'],1992,1
Mi Media Mitad,['Rey Ruiz'],1992,0
Nearly Lost You,['Screaming Trees'],1992,2
Lullaby,['Shawn Mullins'],1992,0
Free Your Mind,['En Vogue'],1992,0
"Rhythm Is A Dancer - 7"" Edit",['SNAP!'],1992,0
Sliver,['Nirvana'],1992,2
Dam That River,['Alice In Chains'],1992,2
I'm Too Sexy,['Right Said Fred'],1992,0
Wild Horses,['The Sundays'],1992,1
No Dejes Que...,['Caifanes'],1992,0
One Jump Ahead,['Brad Kane'],1992,1
